Financial_Year,Gross_Domestic_Product_at_200405_Prices,AgriAllied_Services200405_Prices,Agri200405_Prices,Indus200405_Prices,MinQuar200405_Prices,Manu200405_Prices,Services200405_Prices,AgriAllied_Services_ShareTotalGDP,AgriShareTotalGDP,IndusShareTotalGDP,MinQuarShareTotalGDP,ManuShareTotalGDP,ServicesShareTotalGDP,GDP_Growth_Rate,AgriAllied_ServicesGrowthRate,AgriGrowthRate,IndusGrowthRate,MinQuarGrowthRate,ManuGrowthRate,ServicesGrowthRate,Population
1951-52,"2,86,147 ","1,47,216 ","1,18,877 ","47,768 ","5,772 ","25,889 ","84,799 ",51.45 ,41.54 ,16.69 ,2.02 ,9.05 ,29.63 ,2.33 ,1.49 ,1.64 ,5.50 ,12.33 ,3.16 ,2.67 ,"37,29,97,188"
1952-53,"2,94,267 ","1,51,859 ","1,23,822 ","47,739 ","5,905 ","26,789 ","87,438 ",51.61 ,42.08 ,16.22 ,2.01 ,9.10 ,29.71 ,2.84 ,3.15 ,4.16 ,-0.06 ,2.31 ,3.48 ,3.11 ,"38,12,27,705"
1953-54,"3,12,177 ","1,63,553 ","1,34,958 ","50,409 ","5,993 ","28,863 ","89,940 ",52.39 ,43.23 ,16.15 ,1.92 ,9.25 ,28.81 ,6.09 ,7.70 ,8.99 ,5.59 ,1.50 ,7.74 ,2.86 ,"38,97,31,406"
1954-55,"3,25,431 ","1,68,361 ","1,38,731 ","54,574 ","6,250 ","30,885 ","94,172 ",51.73 ,42.63 ,16.77 ,1.92 ,9.49 ,28.94 ,4.25 ,2.94 ,2.80 ,8.26 ,4.28 ,7.01 ,4.71 ,"39,85,77,992"
1955-56,"3,33,766 ","1,66,906 ","1,36,679 ","60,311 ","6,348 ","33,304 ","98,845 ",50.01 ,40.95 ,18.07 ,1.90 ,9.98 ,29.62 ,2.56 ,-0.86 ,-1.48 ,10.51 ,1.58 ,7.83 ,4.96 ,"40,76,56,597"
1956-57,"3,52,766 ","1,75,980 ","1,44,859 ","65,480 ","6,671 ","35,804 ","1,03,391 ",49.89 ,41.06 ,18.56 ,1.89 ,10.15 ,29.31 ,5.69 ,5.44 ,5.99 ,8.57 ,5.09 ,7.51 ,4.60 ,"41,69,35,399"
1957-58,"3,48,500 ","1,68,075 ","1,37,497 ","64,842 ","7,105 ","37,184 ","1,07,275 ",48.23 ,39.45 ,18.61 ,2.04 ,10.67 ,30.78 ,-1.21 ,-4.49 ,-5.08 ,-0.97 ,6.50 ,3.85 ,3.76 ,"42,62,95,763"
1958-59,"3,74,948 ","1,85,010 ","1,52,961 ","69,335 ","7,327 ","39,026 ","1,11,690 ",49.34 ,40.80 ,18.49 ,1.95 ,10.41 ,29.79 ,7.59 ,10.08 ,11.25 ,6.93 ,3.12 ,4.95 ,4.12 ,"43,59,00,352"
1959-60,"3,83,153 ","1,83,147 ","1,50,730 ","74,081 ","7,704 ","41,676 ","1,17,232 ",47.80 ,39.34 ,19.33 ,2.01 ,10.88 ,30.60 ,2.19 ,-1.01 ,-1.46 ,6.85 ,5.15 ,6.79 ,4.96 ,"44,59,54,579"
1960-61,"4,10,279 ","1,95,482 ","1,61,708 ","82,413 ","8,857 ","45,134 ","1,23,872 ",47.65 ,39.41 ,20.09 ,2.16 ,11.00 ,30.19 ,7.08 ,6.74 ,7.28 ,11.25 ,14.97 ,8.30 ,5.66 ,"45,63,51,876"
